id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
3323,,Moses,,Noel de jonge,M,,,,,1723 - vaand. W. XLV 1723-43,vaand. W. XLV 1723-01-01|1723-12-31/1743-01-01|1743-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,,Petrus Joannes,,Noelmans,M,,,,,1758 - vaand. W. XXX 1758-65,vaand. W. XXX 1758-01-01|1758-12-31/1765-01-01|1765-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,,Jacobus,,Noirot,M,,,1669 - km. A.K. 1669-80,km. A.K. 1669-01-01|1669-12-31/1680-01-01|1680-12-31,"1665 - luit. W. XLVII 1665-73, kap. W. XLVII 1673-81",luit. W. XLVII 1665-01-01|1665-12-31/1673-01-01|1673-12-31; kap. W. XLVII 1673-01-01|1673-12-31/1681-01-01|1681-12-31,,,,,,,,,,,,,,,,,,,,,,,"f 425,- W49/f451v",,,,zie Jacob Noirot in Kohier,
3326,,Pieter,van / van der,Nolk / Nolck,M,,,1746-51 km. No.K.,km. No.K. 1746-01-01|1746-12-31/1751-01-01|1751-12-31,"1729 - vaand. W. XL 1729-42x, luit. W. LV 1742-43",vaand. W. XL 1729-01-01|1729-12-31/1742-01-01|1742-12-31; luit. W. LV 1742-01-01|1742-12-31/1743-01-01|1743-12-31,1751 C. [?],C. 1751-01-01|1751-12-31/1751-01-01|1751-12-31,,,,,,,,,,,,,,,,,,zijdereeder,,,,"04500,- w36/472",,,,
3327,,Balthasar,,Nolthenius,M,,,1748 - Dh 1748-1755†,Dh 1748-01-01|1748-12-31/1755-01-01|1755-12-31,"1735 - luit. W. XXIX 1735-39, kap. W. XXIX 1739-48",luit. W. XXIX 1735-01-01|1735-12-31/1739-01-01|1739-12-31; kap. W. XXIX 1739-01-01|1739-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,"04.500,  1 buitenpl, ov w met 2 p, W9/2356",,,,
3328,Mr.,Jer.,,Nolthenius,M,,,1772 - NZHh 1772-1796,NZHh 1772-01-01|1772-12-31/1796-01-01|1796-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,,Joannes,,Nomsz,M,,,,,1772 - luit. W. I 1772-80,luit. W. I 1772-01-01|1772-12-31/1780-01-01|1780-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,,Floris,,Noomszoen,M,,,"1624 - Gh 1624, 1625",Gh 1624-01-01|1624-12-31/1625-01-01|1625-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,,Cornelis,,Noordhoorn,M,,,Sph NWh 1808-1812†,SphNWh 1808-01-01|1808-12-31/1812-01-01|1812-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,,Cornelis,,Noordhoorn,M,,,,,1750 - luit. W. XLIX 1750-63,luit. W. XLIX 1750-01-01|1750-12-31/1763-01-01|1763-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,,Cornelis Adriaan,,Noordhoorn,M,,,Sph NWh 1812-1814,SphNWh 1812-01-01|1812-12-31/1814-01-01|1814-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,,Joannes,,Noordhoorn,M,,,,,1759 - vaand. W. XLIX 1759-74,vaand. W. XLIX 1759-01-01|1759-12-31/1774-01-01|1774-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,,Jacob ,,Noordkerk de jonge,M,,,,,1732 - vaand. W. XIV 1732-48,vaand. W. XIV 1732-01-01|1732-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,,An. ,van,Noorle van Hall,M,,,1796 - Rh 1796-1811,Rh 1796-01-01|1796-12-31/1811-01-01|1811-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,,Christiaan,van,Noorle van Hall,M,,,Sph NWh 1812-1814,SphNWh 1812-01-01|1812-12-31/1814-01-01|1814-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,,Adriaen,Jacobs van,Noort,M,,,1635 - Amh 1635,Amh 1635-01-01|1635-12-31/1635-01-01|1635-12-31,,,,,,,,,,,,,,,,,,,,,,,,042.500 (f. 293r.) - 212-10,,,,,,
3339,,Cornelis,van der,Noot,M,,,,,"1672 - vaand. W. X 1672-81, vaand. W. XLIX 1681-83, luit. W. XLIX 1683-84",vaand. W. X 1672-01-01|1672-12-31/1681-01-01|1681-12-31; vaand. W. XLIX 1681-01-01|1681-12-31/1683-01-01|1683-12-31; luit. W. XLIX 1683-01-01|1683-12-31/1684-01-01|1684-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,,Sebastiaan,van,Nooten Jansz,M,,,1778 - NZHh 1778-1779,NZHh 1778-01-01|1778-12-31/1779-01-01|1779-12-31,,,1779 Sch.; 1789-95 R.,Sch. 1779-01-01|1779-12-31/1779-01-01|1779-12-31; R. 1789-01-01|1789-12-31/1795-01-01|1795-12-31,"457 - dl. 2, p. 1027 ",,-1748,1748-01-01/1748-12-31,,,,,,,,,,,,,,,,,,,,,,
3341,,Gerrit,,Noppen,M,,,,,1655 - vaand. W. XXXII 1655-59,vaand. W. XXXII 1655-01-01|1655-12-31/1659-01-01|1659-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,,Gerrit,,Noppen,M,,,,,1712 - vaand. W. LII 1712-24,vaand. W. LII 1712-01-01|1712-12-31/1724-01-01|1724-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,,Gerrit,,Noppen,M,,,,,"1747 - vaand. W. XXI 1747-49, luit. W. XXI 1749-79",vaand. W. XXI 1747-01-01|1747-12-31/1749-01-01|1749-12-31; luit. W. XXI 1749-01-01|1749-12-31/1779-01-01|1779-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344,,Hendrik,,Noppen,M,,,,,1720 - vaand. W. XXXII 1720-24,vaand. W. XXXII 1720-01-01|1720-12-31/1724-01-01|1724-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,,Nicolaes,,Noppen,M,,,,,"1707 - vaand. W. XXXII 1707-20, luit. W. XXXII 1720-25, kap. W. XXXII 1725-30†",vaand. W. XXXII 1707-01-01|1707-12-31/1720-01-01|1720-12-31; luit. W. XXXII 1720-01-01|1720-12-31/1725-01-01|1725-12-31; kap. W. XXXII 1725-01-01|1725-12-31/1730-01-01|1730-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,,Jan,,Norel,M,,,,,1672 - vaand. W. XXXII 1672-78,vaand. W. XXXII 1672-01-01|1672-12-31/1678-01-01|1678-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,,Pieter,van,Notten,M,,,,,1732 - vaand. W. XLIV 1732-44,vaand. W. XLIV 1732-01-01|1732-12-31/1744-01-01|1744-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3348,,Gerrit,,Nutges,M,,,,,"1765 - vaand. W. XXX 1765-71, kap. W. XXIX 1775-86",vaand. W. XXX 1765-01-01|1765-12-31/1771-01-01|1771-12-31; kap. W. XXIX 1775-01-01|1775-12-31/1786-01-01|1786-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,,Johannes,,Nutges,M,,,,,1736 - vaand. W. XXV 1736-47x,vaand. W. XXV 1736-01-01|1736-12-31/1747-01-01|1747-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,,Olivier,,Nuyting,M,,,,,"1687 - vaand. W. XXII 1687-88, luit. W. XXII 1688-96",vaand. W. XXII 1687-01-01|1687-12-31/1688-01-01|1688-12-31; luit. W. XXII 1688-01-01|1688-12-31/1696-01-01|1696-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,,Jacob,van,Nuyts,M,,,,,1748 - kap. W. LVI 1748-55,kap. W. LVI 1748-01-01|1748-12-31/1755-01-01|1755-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3352,,Cornelis,,Nuyts,M,,,,,"1681 - vaand. W. XL 1681, vaand. W. XXXI 1681-84",vaand. W. XL 1681-01-01|1681-12-31/1681-01-01|1681-12-31; vaand. W. XXXI 1681-01-01|1681-12-31/1684-01-01|1684-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,,Cornelis,,Nuyts,M,,,,,1703 - luit. W. XL 1703-18,luit. W. XL 1703-01-01|1703-12-31/1718-01-01|1718-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,,Elias,,Nuyts,M,,,1662 - NZHh 1662-1681,NZHh 1662-01-01|1662-12-31/1681-01-01|1681-12-31,1676 - luit. W. XL 1676-81,luit. W. XL 1676-01-01|1676-12-31/1681-01-01|1681-12-31,,,,,,,,,,,,,,,,,,,,,,,"f 390,- W40/f373v",,,,,
3355,,Jan,,Nuyts,M,,,,,"1672 - luit. W. XIX 1672-78, luit. W. XXXIII 1683†",luit. W. XIX 1672-01-01|1672-12-31/1678-01-01|1678-12-31; luit. W. XXXIII 1683-01-01|1683-12-31/1683-01-01|1683-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,,Hendrik,de,Nys,M,,,,,"1748 - vaand. W. X 1748-53, luit. W. X 1753-64, kap. W. II 1764-84",vaand. W. X 1748-01-01|1748-12-31/1753-01-01|1753-12-31; luit. W. X 1753-01-01|1753-12-31/1764-01-01|1764-12-31; kap. W. II 1764-01-01|1764-12-31/1784-01-01|1784-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3357,,Pieter,de,Nys,M,,,,,1652 - vaand. W. XXXIX 1652-61,vaand. W. XXXIX 1652-01-01|1652-12-31/1661-01-01|1661-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,,Gerrit,de ,Nys,M,,,,,1730 - luit. W. XI 1730-48†,luit. W. XI 1730-01-01|1730-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,,Willem,de ,Nys,M,,,,,"1704 - vaand. W. XXV 1704-10, luit. W. XXV 1710-34†",vaand. W. XXV 1704-01-01|1704-12-31/1710-01-01|1710-12-31; luit. W. XXV 1710-01-01|1710-12-31/1734-01-01|1734-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,,Nicolaas,,Obbes,M,,,,,"1748 - vaand. W. LX 1748, luit. W. LIX 1750-51",vaand. W. LX 1748-01-01|1748-12-31/1748-01-01|1748-12-31; luit. W. LIX 1750-01-01|1750-12-31/1751-01-01|1751-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,,Pieter,Pietersz,Occo,M,,,"1561 - Gh 1561, 1563, 1573",Gh 1561-01-01|1561-12-31/1561-01-01|1561-12-31; Gh 1563-01-01|1563-12-31/1563-01-01|1563-12-31; Gh 1573-01-01|1573-12-31/1573-01-01|1573-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,,Sybrandt Pompeius,,Occo,M,,,,,,,"1541 Sch.; 1542 R.; 1556, 58, 60, 62, 63 B.",Sch. 1541-01-01|1541-12-31/1541-01-01|1541-12-31; R. 1542-01-01|1542-12-31/1542-01-01|1542-12-31; B. 1556-01-01|1556-12-31/1556-01-01|1556-12-31; B. 1558-01-01|1558-12-31/1558-01-01|1558-12-31; B. 1560-01-01|1560-12-31/1560-01-01|1560-12-31; B. 1562-01-01|1562-12-31/1563-01-01|1563-12-31,,"1985, I, nr. 6",1514,1514-01-01/1514-12-31,,,1587,1587-01-01/1587-12-31,,,,,,,,,,,,,,,,,,
3363,,David,,Ockers,M,,,,,1700 - vaand. W. XXIX 1700-03,vaand. W. XXIX 1700-01-01|1700-12-31/1703-01-01|1703-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,,Albert,,Ockertsz,M,,,,,1684 - vaand. W. VI 1684-1700x,vaand. W. VI 1684-01-01|1684-12-31/1700-01-01|1700-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,,Claes,Fransz,Oetgens,M,,,1580 - Bwh 1580-1583,Bwh 1580-01-01|1580-12-31/1583-01-01|1583-12-31,1585 - kap. W. VIII [= NZ W. V] 1585 [Claes Fransz],kap. W. VIII 1585-01-01|1585-12-31/1585-01-01|1585-12-31,"1583 Sch.; 1585-1611 R.; …; 1586, 88, 90, 92, 98, 1602, 08, 09 B.",Sch. 1583-01-01|1583-12-31/1583-01-01|1583-12-31; R. 1585-01-01|1585-12-31/1611-01-01|1611-12-31; B. 1586-01-01|1586-12-31/1586-01-01|1586-12-31; B. 1588-01-01|1588-12-31/1588-01-01|1588-12-31; B. 1590-01-01|1590-12-31/1590-01-01|1590-12-31; B. 1592-01-01|1592-12-31/1592-01-01|1592-12-31; B. 1598-01-01|1598-12-31/1598-01-01|1598-12-31; B. 1602-01-01|1602-12-31/1602-01-01|1602-12-31; B. 1608-01-01|1608-12-31/1609-01-01|1609-12-31,"051 - dl. 1, p. 158 ",,,,,,1611,1611-01-01/1611-12-31,,,,,,,,NZ Achterburgwal West (1585),,,050 (p. 175),,,,,,,
3366,,Claes,Fransz,Oetgens,M,,,1580 - Bwh 1580-1583,Bwh 1580-01-01|1580-12-31/1583-01-01|1583-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,,Jacob,Fransz,Oetgens,M,,,"1583, 1585 - SJh",SJh 1583-01-01|1583-12-31/1583-01-01|1583-12-31; SJh 1585-01-01|1585-12-31/1585-01-01|1585-12-31,,,1578-83 R.; 1578-81 C.E.,R. 1578-01-01|1578-12-31/1583-01-01|1583-12-31; C.E. 1578-01-01|1578-12-31/1581-01-01|1581-12-31,"035 - dl. 1, p. 101",,,,,,,,,,,,,,,,,zeepzieder,040 (p. 155),,,,,,,
3368,,Claes,Hendricksz,Oetgens,M,,,,,,,1598 C.,C. 1598-01-01|1598-12-31/1598-01-01|1598-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,,Frans,Hendricksz,Oetgens,M,,,"1588 - Bwh 1588, 1590-1593",Bwh 1588-01-01|1588-12-31/1588-01-01|1588-12-31; Bwh 1590-01-01|1590-12-31/1593-01-01|1593-12-31,,,"1587, 89, 93 Sch.; …; 1599, 1604, 07, 11, 12, 15, 17, 19, 22, 24 B.",Sch. 1587-01-01|1587-12-31/1587-01-01|1587-12-31; Sch. 1589-01-01|1589-12-31/1589-01-01|1589-12-31; Sch. 1593-01-01|1593-12-31/1593-01-01|1593-12-31; B. 1599-01-01|1599-12-31/1599-01-01|1599-12-31; B. 1604-01-01|1604-12-31/1604-01-01|1604-12-31; B. 1607-01-01|1607-12-31/1607-01-01|1607-12-31; B. 1611-01-01|1611-12-31/1612-01-01|1612-12-31; B. 1615-01-01|1615-12-31/1615-01-01|1615-12-31; B. 1617-01-01|1617-12-31/1617-01-01|1617-12-31; B. 1619-01-01|1619-12-31/1619-01-01|1619-12-31; B. 1622-01-01|1622-12-31/1622-01-01|1622-12-31; B. 1624-01-01|1624-12-31/1624-01-01|1624-12-31,"dl. 1, p. 102",,,,,,,,,,,,,,,"t Water, later Warmoesstraat",,koopman,040 (p. 86),,,,,,,
3370,,Jan,Hendricksz,Oetgens van Waveren,M,,,"1592 - Gh 1592, 1593",Gh 1592-01-01|1592-12-31/1593-01-01|1593-12-31,kol. 1602-03-?,kol. ? 1602-01-01|1602-12-31/1603-01-01|?,1592 C.,C. 1592-01-01|1592-12-31/1592-01-01|1592-12-31,"dl. 1, p. 103",,1564,1564-01-01/1564-12-31,,,1607,1607-01-01/1607-12-31,,,,,,,,"t Water, later Warmoesstraat",,,020 (p. 86),,,,,,,
3371,Mr.,Anthony,,Oetgens van Waveren,M,,,1699-1703 km. W.K.,km. W.K. 1699-01-01|1699-12-31/1703-01-01|1703-12-31,,,1703 C.; 1713 Sch.,C. 1703-01-01|1703-12-31/1703-01-01|1703-12-31; Sch. 1713-01-01|1713-12-31/1713-01-01|1713-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,Mr. ,Nicolaas Willem,,Oetgens van Waveren,M,,,1715 - SJh 1715-1721,SJh 1715-01-01|1715-12-31/1721-01-01|1721-12-31,,,1721 C.,C. 1721-01-01|1721-12-31/1721-01-01|1721-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,,Bonaventura,,"Oetgens van Waveren, heer van Waveren, Botshol en Ruige Wilnis ",M,,,1721 - SJh 1721-1730,SJh 1721-01-01|1721-12-31/1730-01-01|1730-12-31,,,1730 Sch.; 1735-61 R.; 1760 B.,Sch. 1730-01-01|1730-12-31/1730-01-01|1730-12-31; R. 1735-01-01|1735-12-31/1761-01-01|1761-12-31; B. 1760-01-01|1760-12-31/1760-01-01|1760-12-31,"332 - dl. 2, p. 806 ",,1700,1700-01-01/1700-12-31,,,1761,1761-01-01/1761-12-31,,,ongehuwd,,,,,,,,,,,04.500 - 5.000 gez ink met moeder v 4500 a 5000,,,liet verm na v 76.912,Q57151735
3374,,Hendr. ,,Ogelwight,M,,,Gh 1801-1809†,Gh 1801-01-01|1801-12-31/1809-01-01|1809-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,,Jacobus Wilhelmus,,Ogelwight,M,,,,,"1781 - vaand. W. VI 1781-87, kap. W. VI 1787, 1795",vaand. W. VI 1781-01-01|1781-12-31/1787-01-01|1787-12-31; kap. W. VI 1787-01-01|1787-12-31/1787-01-01|1787-12-31; kap. W. VI 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,,Marcus Hendrik,,Ogelwight,M,,,,,"1787 - vaand. W. XXIX 1787, 1795",vaand. W. XXIX 1787-01-01|1787-12-31/1787-01-01|1787-12-31; vaand. W. XXIX 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,,Jan,van,Okhuysen,M,,,,,"1740 - vaand. W. XIX 1740-49, luit. W. XIX 1749-51",vaand. W. XIX 1740-01-01|1740-12-31/1749-01-01|1749-12-31; luit. W. XIX 1749-01-01|1749-12-31/1751-01-01|1751-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,,Jan,,Oldendorp,M,,,,,"1749 - vaand. W. XIX 1749-51, luit. W. XIX 1751-68",vaand. W. XIX 1749-01-01|1749-12-31/1751-01-01|1751-12-31; luit. W. XIX 1751-01-01|1751-12-31/1768-01-01|1768-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,,Claas ,,Oldenhoven Mecima,M,,,,,1787 - luit. W. I 1787-88,luit. W. I 1787-01-01|1787-12-31/1788-01-01|1788-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,,Harmanus,,Oldenkot,M,,,,,1795 - luit. W. XX 1795,luit. W. XX 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,Mr.,Pieter,Claesz,Oly Haring,M,,,1577 - OZHh 1577 ,OZHh 1577-01-01|1577-12-31/1577-01-01|1577-12-31,,,"1575 R.; 1577 Sch. [Wag. 3, p. 475: PCzOH]",R. 1575-01-01|1575-12-31/1575-01-01|1575-12-31; Sch. 1577-01-01|1577-12-31/1577-01-01|1577-12-31,,"1985, I, nr. 38",,,,,voor dec. 1578,?/1578-11-30,,,,,,,,,,,,,,,,,,
3382,,Claes,Gerritse,Olyslager,M,,,1511 - SJh 1511-1529,SJh 1511-01-01|1511-12-31/1529-01-01|1529-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,,Jacob ,,Olzati,M,,,,,1793 - luit. W. XIX 1793-95,luit. W. XIX 1793-01-01|1793-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,,Ian,Jacobsz,Onderwater,M,,,"1556 - SJh 1556, 1557",SJh 1556-01-01|1556-12-31/1557-01-01|1557-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,,Mattheus,,Onderwater,M,,,,,1689 - luit. W. XII 1689-1701,luit. W. XII 1689-01-01|1689-12-31/1701-01-01|1701-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,,Willem,van ,Onna,M,,,1762 - Zwh 1762-(1774),Zwh 1762-01-01|1762-12-31/1774-01-01|1774-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,,Hendrik,,Onversaagd,M,,,,,"1738 - serg. W. VII 1734, luit. W. VII 1738-48, kap. W. VII 1748-53",serg. W. VII 1734-01-01|1734-12-31/1734-01-01|1734-12-31; luit. W. VII 1738-01-01|1738-12-31/1748-01-01|1748-12-31; kap. W. VII 1748-01-01|1748-12-31/1753-01-01|1753-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,,Abraham,,Oort,M,,,1685-88 km. O.K.,km. O.K. 1685-01-01|1685-12-31/1688-01-01|1688-12-31,1684 - kap. W. XLVI 1684-91†,kap. W. XLVI 1684-01-01|1684-12-31/1691-01-01|1691-12-31,,,,,,,,,1691-02-03,1691-02-03,,,,,,,,,,,,,,,,,,
3389,,Adam,,Oortman,M,,,,,1691 - vaand. W. XXIV 1691-1717,vaand. W. XXIV 1691-01-01|1691-12-31/1717-01-01|1717-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,,Hendrik ,,Oortman,M,,,,,1730 - luit. W. XLIV 1730-48,luit. W. XLIV 1730-01-01|1730-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,,Jacobus,van,Oosten,M,,,,,1712 - vaand. W. XXXVII 1712-26,vaand. W. XXXVII 1712-01-01|1712-12-31/1726-01-01|1726-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,,Matthys,,Ooster Jr. ,M,,,1768 - Lh 1768-1773,Lh 1768-01-01|1768-12-31/1773-01-01|1773-12-31,,,1773 C.; 1777 Sch.,C. 1773-01-01|1773-12-31/1773-01-01|1773-12-31; Sch. 1777-01-01|1777-12-31/1777-01-01|1777-12-31,"dl. 2, p. 727",,1747,1747-01-01/1747-12-31,,,1842,1842-01-01/1842-12-31,,,,,,,,,,,,,,,,,,
3393,Mr.,Jacob,van,Oosterwijck,M,,,,,,,1749 Sch.,Sch. 1749-01-01|1749-12-31/1749-01-01|1749-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,,Joan,van,Oosterwijck,M,,,1678 - SJh 1678-1688,SJh 1678-01-01|1678-12-31/1688-01-01|1688-12-31,"1681 - luit. W. XV 1681, luit. W. XLVI 1681-84, kap. W. XI 1684-87",luit. W. XV 1681-01-01|1681-12-31/1681-01-01|1681-12-31; luit. W. XLVI 1681-01-01|1681-12-31/1684-01-01|1684-12-31; kap. W. XI 1684-01-01|1684-12-31/1687-01-01|1687-12-31,1688-99 R.; 1689 C.,R. 1688-01-01|1688-12-31/1699-01-01|1699-12-31; C. 1689-01-01|1689-12-31/1689-01-01|1689-12-31,"242 - dl. 2, p. 616 ",,"Delft, omstreeks 1640-Amsterdam, 2 oktober 1699",1638-01-01/1642-12-31,Delft,,,1699-10-02,Amsterdam,,,,,,,,,,,,"f 10,- W22/f200v",,,,,
3395,,Cornelis,van,Oostrum,M,,,,,1768 - vaand. W. XXXIV 1768-74,vaand. W. XXXIV 1768-01-01|1768-12-31/1774-01-01|1774-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,,David,van,Oostrum,M,,,,,1765 - vaand. W. XXXVIII 1765-74,vaand. W. XXXVIII 1765-01-01|1765-12-31/1774-01-01|1774-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,Mr.,Nicolaes,,Opmeer,M,,,,,"1659 - kap. W. XXXI 1659-63, kap. W. XXXVIII 1672-81",kap. W. XXXI 1659-01-01|1659-12-31/1663-01-01|1663-12-31; kap. W. XXXVIII 1672-01-01|1672-12-31/1681-01-01|1681-12-31,"1659 S; 1672-1696 R.; 1681, 83, 87, 91, 92, 94 B.; …",S. 1659-01-01|1659-12-31/1659-01-01|1659-12-31; R. 1672-01-01|1672-12-31/1696-01-01|1696-12-31; B. 1681-01-01|1681-12-31/1681-01-01|1681-12-31; B. 1683-01-01|1683-12-31/1683-01-01|1683-12-31; B. 1687-01-01|1687-12-31/1687-01-01|1687-12-31; B. 1691-01-01|1691-12-31/1692-01-01|1692-12-31; B. 1694-01-01|1694-12-31/1694-01-01|1694-12-31,"213 - dl. 2, p. 571 ",,1631-20 februari 1696,1631-01-01/1631-12-31,,,,1696-02-20,,,"Thierry, Margaretha",Margaretha Thierry (?),1670-10-12 (39),1670-10-12 (39),,,,,,,"020.000 - f100,- W M/f564v of f50,- W O/f604",,,,,Q57151748
3398,Dr.,Pieter,,Opmeer,M,,,raad ter admir. v. Zeeland 1632-1638,,1630 - kap. W. I 1630-32,kap. W. I 1630-01-01|1630-12-31/1632-01-01|1632-12-31,1624-39 R.; 1625 C.; 1626 Sch.,R. 1624-01-01|1624-12-31/1639-01-01|1639-12-31; C. 1625-01-01|1625-12-31/1625-01-01|1625-12-31; Sch. 1626-01-01|1626-12-31/1626-01-01|1626-12-31,"115 - dl. 1, p. 356 ",,1596-22 december 1639,1596-01-01/1596-12-31,,,,1639-12-22,,,"Witsen, Maria",Maria Witsen (?),1621-12-14 (25),1621-12-14 (25),,,,,,030.000 (fol. 2r) - 150,,,,,,Q57151740
3399,,Lambert ,Cornelisz,Opsie,M,,,,,,,1580 Secr.,Secr. 1580-01-01|1580-12-31/1580-01-01|1580-12-31,,,1548 ca.,1546-01-01/1550-12-31,,,1583,1583-01-01/1883-12-31,,,,,,,,,,,,,,,,,,
3400,,Jan Arnout,van ,Orsoy,M,,,,,1748 - luit. W. XI 1748-54,luit. W. XI 1748-01-01|1748-12-31/1754-01-01|1754-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,,Jan Arnout,van,Orsoy Jansz ,M,,,,,"1725 - vaand. W. XXIII 1725-33, luit. W. XXIII 1748-50",vaand. W. XXIII 1725-01-01|1725-12-31/1733-01-01|1733-12-31; luit. W. XXIII 1748-01-01|1748-12-31/1750-01-01|1750-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,,Christiaan ,van ,"Orsoy, Jan Arnoutsz",M,,,,,1758 - vaand. W. XI 1758-67,vaand. W. XI 1758-01-01|1758-12-31/1767-01-01|1767-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,,Jacob,van,Orssagen Paul,M,,,,,1779-80 ca. serg. W. XV,serg. W. XV 1779-01-01|1779-12-31/1780-01-01|1780-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,,Abraham,,Ortt,M,,,,,,,1688 C.,C. 1688-01-01|1688-12-31/1688-01-01|1688-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
