id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
760,Mr.,Joan,van / van der,Heuvel,M,"1716 - R. 62 - Boonen Bwh, nr. 5",R. 62,1715 - Bwh 1715-19†,Bwh 1715-01-01|1715-12-31/1719-01-01|1719-12-31,1695 - luit. W. XIV 1695-1709,luit. W. XIV 1695-01-01|1695-12-31/1709-01-01|1709-12-31,,,_,,1666,1666-01-01/1666-12-31,,,1719,1719-01-01/1719-12-31,,,,,,,,,,,,,,_,,,,
761,,Pieter,,Roos,M,"1716 - R. 62 - Boonen Bwh, nr. 6",R. 62,1715 - Bwh 1715-1716†,Bwh 1715-01-01|1715-12-31/1716-01-01|1716-12-31,1707 - vaand. W. IX 1707-17,vaand. W. IX 1707-01-01|1707-12-31/1717-01-01|1717-12-31,,,_,,1655?,1655-01-01/1655-12-31,,,1716,1716-01-01/1716-12-31,,,,,,,,,,,,,,_,,,,Q96198458
762,Mr.,Hendr. Arn.,de,Dieu,M,1719? HvdMijn Dh? - afgedankt 1881,X. 4,1719 - Dh 1719-1727†,Dh 1719-01-01|1719-12-31/1727-01-01|1727-12-31,,,,,"dl. 2, p. 783?",,1672?,1672-01-01/1672-12-31,,,1727,1727-01-01/1727-12-31,,,,,,,,,,,,,,,,,,
763,Mr. ,Dirck ,van der,Perre,M,1719? HvdMijn Dh? - afgedankt 1881,X. 4,1719 - Dh 1719-1724†,Dh 1719-01-01|1719-12-31/1724-01-01|1724-12-31,,,,,_,,,,,,1724,1724-01-01/1724-12-31,,,,,,,,,,,,,,,,,,
764,Mr.,Jan,,Rijser  ,M,1719? HvdMijn Dh? - afgedankt 1881,X. 4,1707 - Dh 1707-1736†,Dh 1707-01-01|1707-12-31/1736-01-01|1736-12-31,,,,,_,,,,,,1736,1736-01-01/1736-12-31,,,,,,,,,,,,,,,,,,
765,,Gerr.,van,Ruster,M,1719? HvdMijn Dh? - afgedankt 1881,X. 4,1715 - Dh 1715-1747†,Dh 1715-01-01|1715-12-31/1747-01-01|1747-12-31,,,,,_,,,,,,1747,1747-01-01/1747-12-31,,,,,,,,,,rentenier,,,,"04.000 W. 38/1478, 4.000 ink., 610 huur",,,,
766,,Nicolaas,de,Swaan de Jonge,M,"1720 - R. 53 - Boonen OZHh, nr. 1 - verloren 1943",R. 53,1710 - OZHh 1710-1742†,OZHh 1710-01-01|1710-12-31/1742-01-01|1742-12-31,"1721 - vaand. W. ?, luit. W. XVII 1721-25, kap. W. XVII 1725-42†",vaand. ? 1721-01-01|1721-12-31/1721-01-01|1721-12-31; luit. W. XVII 1721-01-01|1721-12-31/1725-01-01|1725-12-31; kap. W. XVII 1725-01-01|1725-12-31/1742-01-01|1742-12-31,,,_,,1672-11-30,1672-11-30,Amsterdam,"DTB 44, p. 366",1741-11-24,1741-11-24,Amsterdam,"DTB 1058, p. 111v",,,,,,,,,,,,"03.000 W. 10 / 2631?, 3.000 ink., 540 huur",,,,
767,,Gerrit,van,Oosten,M,"1720 - R. 53 - Boonen OZHh, nr. 2 - verloren 1943",R. 53,1716 - OZHh 1716-1721†,OZHh 1716-01-01|1716-12-31/1721-01-01|1721-12-31,,,,,_,,1656/57,1656-01-01/1657-12-31,Rotterdam,,1721- 05-20,1721-05-20,Amsterdam,"DTB 1048, p. 75v",Anna Catharina Luijcken,Anna Catharina Luijcken (?),1681-08-26,1681-08-26,"DTB 509, p. 137","Rotterdam (1681), Keizersgracht (1721)",,,,,,_,,,,
768,Mr.,Jacob,,Heshuysen,M,"1720 - R. 53 - Boonen OZHh, nr. 3 - verloren 1943",R. 53,1717 - OZHh 1717-1723†,OZHh 1717-01-01|1717-12-31/1723-01-01|1723-12-31,,,,,_,,1687/88,1687-01-01/1687-12-31,Naarden,,1723,1723-01-01/1723-12-31,,,Apollonia Wilwanck,Apollonia Wilwanck (?),1713-02-24,1713-02-24,"DTB 549, . 58",,,,,,,_,,,,
769,,Nicolaas,,Teengs,M,"1720 - R. 53 - Boonen OZHh, nr. 4 - verloren 1943",R. 53,1719 - OZHh 1719-1727,OZHh 1719-01-01|1719-12-31/1727-01-01|1727-12-31,,,,,_,,,,,,1727-08-06,1727-08-06,Amsterdam,"DTB 1103, p. 62v",,,,,,Kloveniersburgwal (1727),,,,,,_,,,,
